article_link,article_title
/foto/arsip/kesulitan-air-bersih-warga-palestina-serbu-truk-air-1204048,"Kesulitan Air Bersih, Warga Palestina Serbu Truk Air"
/internasional/sindir-trump-sekjen-pbb-tolak-pembersihan-etnis-palestina-dari-gaza-1203503,"Sindir Trump, Sekjen PBB Tolak Pembersihan Etnis Palestina dari Gaza"
/internasional/negara-negara-arab-kecam-usul-trump-kuasai-gaza-dan-usir-warga-palestina-1203465,Negara-negara Arab Kecam Usul Trump Kuasai Gaza dan Usir Warga Palestina
/internasional/hamas-siap-berunding-dengan-donald-trump-1203179,Hamas Siap Berunding dengan Donald Trump
/foto/arsip/perjalanan-pulang-keluarga-pengungsi-palestina-ke-jalur-gaza-1203174,Perjalanan Pulang Keluarga Pengungsi Palestina ke Jalur Gaza
/internasional/warga-gaza-tolak-dipindahkan-oleh-trump-kami-tak-akan-pergi--1203017,Warga Gaza Tolak Dipindahkan oleh Trump: Kami Tak Akan Pergi
/internasional/trump-umumkan-as-akan-ambil-alih-jalur-gaza-pindahkan-warga-palestina--1202963,"Trump Umumkan AS akan Ambil Alih Jalur Gaza, Pindahkan Warga Palestina"
/internasional/demi-israel-donald-trump-bidik-dewan-ham-pbb-dan-unrwa-1202506,"Demi Israel, Donald Trump Bidik Dewan HAM PBB dan UNRWA"
/cekfakta/benar-anggota-komisi-i-dpr-ri-sukamta-mengusulkan-warga-israel-dipindah-ke-as-1202510,Benar: Anggota Komisi I DPR RI Sukamta Mengusulkan Warga Israel Dipindah ke AS
/internasional/pemerintah-donald-trump-berencana-jual-senjata-senilai-rp16-4-triliun-ke-israel-1202460,"Pemerintah Donald Trump Berencana Jual Senjata Senilai Rp16,4 Triliun ke Israel"
/politik/pesan-megawati-saat-bertemu-anak-anak-korban-perang-palestina-dan-ukraina-1201895,Pesan Megawati saat Bertemu Anak-anak Korban Perang Palestina dan Ukraina
/internasional/9-negara-bentuk-grup-den-haag-untuk-dukung-palestina-termasuk-malaysia-1201781,"9 Negara Bentuk Grup Den Haag untuk Dukung Palestina, Termasuk Malaysia"
/internasional/netanyahu-bertolak-ke-as-untuk-bertemu-trump-1201594,Netanyahu Bertolak ke AS untuk Bertemu Trump
/internasional/walau-dilarang-israel-unrwa-tetap-beroperasi-melayani-warga-gaza-1201452,"Walau Dilarang Israel, UNRWA Tetap Beroperasi Melayani Warga Gaza"
/foto/arsip/militan-hamas-palestina-bebaskan-sandera-ofer-kalderon-dan-yarden-bibas-1201399,Militan Hamas Palestina Bebaskan Sandera Ofer Kalderon dan Yarden Bibas
/video/arsip/10-warga-palestina-tewas-setelah-serangan-udara-israel-di-tepi-barat-1201414,10 Warga Palestina Tewas Setelah Serangan Udara Israel di Tepi Barat
/foto/arsip/warga-sambut-tahanan-palestina-yang-dibebaskan-israel-1201167,Warga Sambut Tahanan Palestina yang Dibebaskan Israel
/internasional/norwegia-kirimkan-rp390-miliar-ke-unrwa-usai-larangan-israel-1200740,Norwegia Kirimkan Rp390 Miliar ke UNRWA Usai Larangan Israel
/internasional/hamas-bebaskan-tentara-wanita-israel-dan-5-sandera-asal-thailand-1200620,Hamas Bebaskan Tentara Wanita Israel dan 5 Sandera Asal Thailand
/foto/arsip/lebih-dari-300-ribu-pengungsi-palestina-kembali-ke-gaza-utara-1200286,Lebih dari 300 Ribu Pengungsi Palestina kembali ke Gaza Utara
/internasional/mesir-bantah-trump-telepon-sisi-soal-relokasi-warga-palestina-dari-gaza-1200182,Mesir Bantah Trump Telepon Sisi soal Relokasi Warga Palestina dari Gaza
/internasional/senat-amerika-serikat-blokir-ruu-sanksi-kepada-icc-1200082,Senat Amerika Serikat Blokir RUU Sanksi kepada ICC
/internasional/dikira-warga-palestina-pekerja-israel-ditembak-mati-tentara-israel-di-gaza-1200076,"Dikira Warga Palestina, Pekerja Israel Ditembak Mati Tentara Israel di Gaza"
