url,article_title
https://www.cnbcindonesia.com/news/20240414145423-4-530283/iran-serang-israel-habis-habisan-begini-reaksi-hamas,"Iran Serang Israel Habis-habisan, Begini Reaksi Hamas"
https://www.cnbcindonesia.com/news/20240414133248-7-530271/potret-warga-iran-bersorak-usai-sukses-serang-israel,Potret Warga Iran Bersorak Usai Sukses Serang Israel
https://www.cnbcindonesia.com/news/20240414112407-4-530245/terkuak-ini-alasan-utama-iran-serang-israel,"Terkuak, Ini Alasan Utama Iran Serang Israel"
https://www.cnbcindonesia.com/news/20240414102348-7-530235/penampakan-rudal-iran-bombardir-israel,Penampakan Rudal Iran Bombardir Israel
https://www.cnbcindonesia.com/news/20240414095009-7-530221/potret-detik-detik-ratusan-drone-iran-serang-israel,Potret Detik-Detik Ratusan Drone Iran Serang Israel
https://www.cnbcindonesia.com/research/20240413170321-128-530152/di-ambang-perang-ini-sejarah-panjang-konflik-israel-vs-iran,Di Ambang Perang: Ini Sejarah Panjang Konflik Israel VS Iran
https://www.cnbcindonesia.com/news/20240413085417-7-530075/massa-bela-palestina-gelar-aksi-penuhi-jalanan-di-new-york,Massa Bela Palestina Gelar Aksi Penuhi Jalanan di New York
https://www.cnbcindonesia.com/news/20240412162302-7-529984/potret-haru-warga-palestina-berziarah-ke-makam-keluarga,Potret Haru Warga Palestina Berziarah ke Makam Keluarga
https://www.cnbcindonesia.com/news/20240412123417-8-529955/video-potret-anak-anak-di-gaza-saat-rayakan-idul-fitri,Video: Potret Anak-anak di Gaza Saat Rayakan Idul Fitri
https://www.cnbcindonesia.com/research/20240411142226-128-529803/perayaan-idul-fitri-tahun-ini-penuh-duka-dan-teror-bagi-warga-gaza,Perayaan Idul Fitri Tahun Ini Penuh Duka dan Teror Bagi Warga Gaza
https://www.cnbcindonesia.com/news/20240411114735-4-529784/tak-suka-gaza-dibombardir-brutal-israel-biden-semprot-netanyahu,"Tak Suka Gaza Dibombardir Brutal Israel, Biden Semprot Netanyahu"
https://www.cnbcindonesia.com/news/20240410180438-8-529694/video-biden-kritik-netanyahu-salahkan-soal-ini,"Video: Biden Kritik Netanyahu, Salahkan Soal Ini"
https://www.cnbcindonesia.com/news/20240410180244-8-529692/video-muslim-palestina-di-gaza-laksanakan-salat-id-di-tengah-agresi,Video: Muslim Palestina di Gaza Laksanakan Salat ID di Tengah Agresi
https://www.cnbcindonesia.com/news/20240410140402-4-529660/tanda-tanda-universitas-harvard-makin-tak-laku-muncul-fenomena-ini,"Tanda-Tanda Universitas Harvard Makin Tak Laku, Muncul Fenomena Ini"
https://www.cnbcindonesia.com/news/20240410133550-8-529655/video-sambut-lebaran-14-warga-palestina-tewas-akibat-serangan-israel,"Video: Sambut Lebaran, 14 Warga Palestina Tewas Akibat Serangan Israel"
